1198.557,fillfine,티원 노잼메타 vs 담원 꿀잼메타
1199.393,kdh742712,T1화이팅!!
1200.019,ksyljm1515,제발 담원 이기자
1203.769,bombsunin,T1 화이팅
1204.355,lkmay1,다크소울 ㄷㄷㄷ
1205.704,총곽김치,ㄷㄷㄷㅈ
1205.942,ogichisuzuya,que
1208.074,김성빈11111111,응아니야
1209.227,헤윰바온,ㄷㄷㄷㅈ
1210.156,jina588119,벌써부터 군침이 싹 도노
1211.205,전과1범모범수,티원 이번에 담원 이겨보자ㅏㅏ
1212.257,그렇다고합시당,아직 퇴근시간도 안되서 그런거아닌가
1212.346,yimugi25,시작작
1214.576,MGBProduction,우웅우웅
1215.551,xx0xx715,페지르
1215.669,indigo_0,시청자수왜이럼
1216.728,모스7,담원 홧팅
1218.089,wineyo,트위치 하고 유튜브 같이 운영하잔아 생각좀
1218.5,ymk0715,담원 화이팅 !
1221.59,토끼고기다판다,담원! 담원! 담원!
1222.204,저섭프,ㄷㄷㄷㅈ
1223.959,뚜때,불좀 꺼줄래?
1224.238,김패링,T1이 이긴다? 게임 개 졸릴듯ResidentSleeper
1225.98,바규,청자수 걍 버그임
1226.213,루트세,ㄷㄷㄷㅈ
1226.631,psw0595,t1 ㅎㅇㅌ
1227.935,KeithJKim,트하
1228.069,약한꿀꿀이,ㅌㅇㅎㅇㅌ
1229.752,영빈짱,케리아 멋있다
1230.577,다음주부터,4부리그 요새 누가보냐
1230.944,pixy1023,ISS7
1232.962,무1557,담원 ㅎㅇㅌ
1235.379,스카이워커18874,페지르 가즈아ㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏ
1235.599,tifajjang,dddz
1236.219,Fakkua,롤깨들 반갑다이거야
1238.556,슈퍼인성,ㅎㅇㅎㅇ
1241.496,tks00094,불좀 꺼줄래?
1241.888,auntiejin,ㅎㅇㅌ
1243.086,television23,ISS7
1246.492,페시트,이야 드뎌 시작인가
1248.163,예지_0414,불 좀 꺼줄래?
1248.588,유우령042,담원이 이겼으면 좋겠다
1248.93,참사랑맨,우웩
1251.086,zmxncbvccc,속보) 클로져 미드선발!
1252.072,그늘아래,시청자 500명ㅋㅋ
1253.045,굽네왕박종우,개 ㅗ슼 오늘 딱ㄷ ㅋㅋ
1255.734,콩보리,알고싶어 너의 RGB값~
1256.731,rlaalstjs38,t1 진짜 사랑해
1260.799,진돌민,T1 Win!!!!!
1264.925,dmsrkd813,히오스왕
1269.038,소진__,뷰봇님 입장하실게요~
1269.441,김연아처럼,역체롤은 울프지 꼬우면 페이커 RCK와서 증명하든가
1269.984,cehmars,이런거 하지마
1270.663,gguidox,when start this?
1271.653,slashnullzero,제발 정의구현 가자 T1 화이팅........... 해서 져라!!!
1272.641,borisedan,불좀꺼줄래?
1274.145,미사카미코토남편,불좀 꺼줄래?
1275.051,starman3300,불 좀 꺼줄래?
1275.367,hanu0974,슬슬 사람들 들어오네
1275.628,Rutina,중2병
1277.657,김병아리_,#DRXWIN
1278.675,쌀신,배도라지mt가 너무 재밌어서 정신없이 보다보니 lck 하네
1280.312,azusa_asuza,T1 화이팅
1280.741,akzm311,하품
1282.02,jjsspp60,가오가이거
1282.09,힘센쿠키,캇나 화이팅!!!
1282.721,powera1234,킹원 이긴다
1284.644,쿠이04,누가이기든 상관없고 명장면 많이 나왔으면
1285.732,jihun0128,담원 화이팅!
1286.67,롤트위쳐,페지르 ㄷㄷㄷㄷㄷㄷㄷ
1286.76,셀렉션초코맛,한화의 김성근 감독님 사랑해
1287.008,순당무가노래하면오는사람,우웃
1287.68,다큐멘터리,이런거 하지마래 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1287.907,서네서네,페지르 개멋잇누
1288.085,vhdhxh2,페지르뻘궁입갤 ㅋㅋ
